id,loan_status,loan_amnt,int_rate,installment,annual_inc,verification_status,revol_bal,revol_util,total_acc,acc_open_past_24mths,total_pymnt,home_ownership_OWN,home_ownership_RENT
62286683,1,24000,7.89,750.86,237500.0,1,28279,36.9,25,5,24948.4500043,0.0,0.0
46314315,1,8000,6.68,245.85,41000.0,0,24377,51.0,29,2,8351.63,0.0,1.0
51317198,1,12175,9.17,388.13,100000.0,0,21329,64.6,17,3,13205.91,0.0,0.0
42984750,0,6400,6.92,197.38,41900.0,1,14936,73.2,15,1,3550.38,0.0,1.0
42181434,1,12600,6.68,387.22,73800.0,0,9904,20.7,25,4,13125.77,1.0,0.0
38457385,1,9000,8.67,284.82,82000.0,1,46158,77.1,29,2,9789.87000137,0.0,0.0
61943001,1,3500,8.18,109.97,80000.0,1,40641,27.7,63,8,3703.95000003,0.0,0.0
65905100,1,8000,7.89,250.29,47840.0,1,8019,46.9,11,3,8351.54,1.0,0.0
51256140,0,6000,7.89,187.72,43000.0,1,3102,50.9,20,3,1701.25,0.0,1.0
55461218,1,6000,8.18,188.52,33000.0,1,9425,62.4,32,3,6457.00000142,0.0,1.0
53734742,0,10000,10.99,327.34,36000.0,1,9022,67.8,49,4,3594.63,0.0,1.0
63364494,1,10000,5.32,301.15,110000.0,1,10412,45.3,24,1,10243.02,0.0,1.0
38658348,1,21000,6.03,639.15,55000.0,1,21083,68.5,19,2,22163.26,1.0,0.0
41079352,0,16000,18.25,580.45,65000.0,0,15460,58.8,17,6,8662.4,0.0,1.0
60376435,1,34000,6.24,1038.05,250000.0,1,34729,36.5,38,2,35278.71,0.0,0.0
43955321,1,6800,14.65,234.57,50000.0,1,26212,78.2,27,10,7542.84,0.0,0.0
57713792,1,25000,7.26,774.91,120000.0,0,24385,44.6,38,6,26376.01,0.0,0.0
40962381,1,7500,7.89,234.65,50000.0,1,7142,84.0,12,1,7965.96777386,0.0,0.0
55545027,1,5600,9.17,178.53,130000.0,1,5028,14.0,29,9,5824.08,0.0,0.0
43420028,0,12000,17.57,431.25,60000.0,1,16084,76.5,14,4,6850.96,0.0,1.0
43480116,1,24000,9.17,765.1,80000.0,1,20341,69.4,27,3,26006.83,0.0,1.0
40363063,1,6000,9.49,192.17,60000.0,1,7290,38.0,31,5,6405.75,0.0,1.0
66595145,1,16800,7.26,520.74,55000.0,1,15292,37.0,37,2,17467.63,0.0,0.0
54533710,1,10000,12.69,335.45,105000.0,0,9391,82.0,10,7,11009.02,0.0,1.0
67458304,1,15625,11.99,518.9,34000.0,1,16100,55.1,37,3,15631.77,0.0,1.0
38505940,1,16000,8.19,502.79,52000.0,0,10723,45.6,18,1,17566.02,0.0,1.0
61541044,1,10000,11.53,329.91,60000.0,1,10085,77.6,11,4,10690.14,0.0,0.0
43529541,1,8000,13.33,270.83,54000.0,1,2379,15.7,17,7,8155.32,0.0,0.0
63558275,0,6325,15.41,220.54,72500.0,1,3197,55.1,17,5,0.0,0.0,0.0
40197818,1,18000,11.99,597.78,80000.0,0,13747,61.4,44,7,18956.07,0.0,0.0
38699542,1,30000,6.99,926.18,180000.0,1,159886,43.8,40,5,32498.7,0.0,0.0
61473698,0,3000,15.61,104.9,21000.0,1,5297,79.1,17,4,797.01,0.0,1.0
40380675,0,15000,12.39,501.02,65000.0,0,12767,66.2,24,4,7954.57,0.0,1.0
46809202,1,6000,10.99,196.41,111500.0,1,33435,72.5,11,2,6533.91000134,0.0,1.0
63246010,1,19200,5.32,578.21,135000.0,0,34725,25.2,33,6,20067.55,0.0,0.0
39289248,1,7000,12.39,233.81,42000.0,1,8329,53.4,15,6,7692.95,0.0,0.0
38372414,1,16000,10.49,519.97,75000.0,0,28739,47.3,51,10,16430.58,0.0,0.0
68434571,1,20000,11.99,664.2,65000.0,0,3871,7.3,48,7,21508.24,0.0,0.0
46426290,1,28000,6.92,863.54,173000.0,0,29857,89.7,25,1,29974.38,0.0,0.0
58110712,1,25000,11.53,824.76,121000.0,1,20127,68.7,32,2,27561.73,0.0,1.0
56632962,1,10000,13.33,338.54,48000.0,1,9442,99.4,20,7,10376.34,0.0,0.0
41429489,1,24000,14.65,827.87,65000.0,1,11082,51.0,17,7,28052.8900543,0.0,1.0
41059945,1,5600,10.99,183.32,53000.0,1,4474,69.9,28,6,6315.16,0.0,0.0
