"Retailer","Salerank","X2013USSales","X2013WorldSales","ProfitMargin","NumStores","Industry","Reward","ProgramName","RewardType","RewardStructure","RewardSize","ExpirationMonth","IndustryType"
"A&P",74,0.005831,0.005831,48.85,0.277,"Discount, Variety Stores",0,"No rewards program","-","-",NA,"-","Discount"
"Albertsons",21,0.019452,0.019452,69.02,1.024,"Grocery Stores",0,"No rewards program","-","-",NA,"-","Grocery"
"Aldi",38,0.010898,0.01065,69.41,1.328,"Grocery Stores",0,"No rewards program","-","-",NA,"-","Grocery"
"Alimentation Couche Tard (Circle K)",82,0.004755,0.008551,68.03,3.826,"Grocery Stores",0,"No rewards program","-","-",NA,"-","Grocery"
"Apple Stores",15,0.026648,0.030736,11.07,0.254,"ElectronicEquipment",0,"No rewards program","-","-",NA,"-","Specialty"
"Army Air Force Exchange",48,0.00864,0.016301,60.41,0.53,"Specialty Retail, Other",0,"No rewards program","-","-",NA,"-","Specialty"
"AT&T Wireless",51,0.008347,0.008096,46.95,2.179,"Telecom Services - Domestic",0,"No rewards program","-","-",NA,"-","Specialty"
"Barnes & Noble",71,0.006082,0.006082,72.79,1.366,"Specialty Retail, Other",0,"No rewards program","-","-",NA,"-","Specialty"
"Bed Bath & Beyond",36,0.011319,0.010967,10.07,1.453,"Home Furnishing Stores",0,"No rewards program","-","Spend $200 earn 1,000 points = $10 reward certificate for future purchase",NA,"-","Specialty"
"Big Lots",78,0.005107,0.005284,12.09,1.493,"Discount, Variety Stores",0,"No rewards program","-","-",NA,"-","Discount"
"Burger King",49,0.008509,0.035214,98.47,7.155,"Restaurants",0,"No rewards program","-","-",NA,"-","Restaurants"
"Burlington Coat Factory",87,0.004402,0.004428,45.67,0.509,"Discount, Variety Stores",0,"No rewards program","-","-",NA,"-","Discount"
"Costco",3,0.07474,0.1051,50.75,0.447,"Discount, Variety Stores",0,"Executive Rewards","check","2% of purchase for Executive members, capped at $750 every 12 month",2,"999","Discount"
"Darden Restaurants (Olive Garden)",53,0.007967,0.00784,13.94,2.157,"Restaurants",0,"No rewards program","-","-",NA,"-","Restaurants"
"Defense Commissary Agency",79,0.005015,0.005015,4.24,0.179,"Specialty Retail, Other",0,"No rewards program","-","-",NA,"-","Specialty"
"Delhaize America",23,0.018817,0.02911,84.23,1.514,"Grocery Stores",0,"No rewards program","instant discount","-",NA,"-","Grocery"
"DineEquity (Applebee's)",63,0.006974,0.007342,7.1,3.425,"Restaurants",0,"No rewards program","-","-",NA,"-","Restaurants"
"Dollar General",25,0.017504,0.017504,54.12,11.132,"Discount, Variety Stores",0,"No rewards program","-","-",NA,"-","Discount"
"Dollar Tree",54,0.00767,0.007629,21.04,4.812,"Discount, Variety Stores",0,"No rewards program ","-","-",NA,"-","Discount"
"Family Dollar",40,0.010391,0.01023,30.96,7.916,"Discount, Variety Stores",0,"No rewards program","coupons sent for subscribers of FDR program","Earn family dollar which is printed at bottom of receipt at next purchase",NA,"-","Discount"
"Good Neighbor Pharmacy",59,0.007271,0.009286,59.64,3.155,"Specialty Retail, Other",0,"No rewards program","-","-",NA,"-","Specialty"
"IKEA North America",88,0.00437,0.037877,19.49,0.038,"Specialty Retail, Other",0,"No rewards program","-","-",NA,"-","Specialty"
"Lowe's",8,0.05221,0.053417,86.36,1.717,"Home Improvement Stores",0,"No rewards program ","5% instant discount with Lowes card","-",NA,"-","Specialty"
"Macy's",14,0.027868,0.027931,19.47,0.837,"Department Stores",0,"No rewards program","-","-",NA,"-","Department"
"McDonald's",11,0.035856,0.089126,5.04,14.267,"Restaurants",0,"No rewards program","-","-",NA,"-","Restaurants"
"Michaels Stores",90,0.004132,0.00457,9.59,1.147,"Specialty Retail, Other",0,"No rewards program","-","-",NA,"-","Specialty"
"PetSmart",72,0.005298,0.006117,28.12,1.247,"Specialty Retail, Other",0,"No rewards program","-","-",NA,"-","Specialty"
"Philips Health Mart Systems",58,0.00743,0.007271,90.33,3.199,"Drug Stores",0,"No rewards program","-","-",NA,"-","Specialty"
"Publix",13,0.028917,0.028917,77.76,1.273,"Discount, Variety Stores",0,"No rewards program","-","-",NA,"-","Discount"
"QVC",73,0.005844,0.008623,97.49,0,"Specialty Retail, Other",0,"No rewards program","-","-",NA,"-","Specialty"
"Ross Stores",41,0.010221,0.013154,18.99,1.276,"Apparel Stores",0,"No rewards program","-","-",NA,"-","Specialty"
"Roundy's Supermarkets (pick and save)",94,0.003946,0.003946,98.56,0.163,"Grocery Stores",0,"No rewards program","-","-",NA,"-","Grocery"
"Sherwin Williams",68,0.006223,0.00651,1.02,3.685,"Specialty Chemicals",0,"No rewards program","-","-",NA,"-","Specialty"
"Sonic",95,0.003882,0.003882,28.77,3.522,"Restaurants",0,"No rewards program","-","-",NA,"-","Restaurants"
"Stater Brothers. Supermarket",96,0.00386,0.00386,37.52,0.166,"Discount, Variety Stores",0,"No rewards program","-","-",NA,"-","Discount"
"Target",4,0.071279,0.072596,19.37,1.793,"Discount, Variety Stores",0,"No rewards program","-","-",NA,"-","Discount"
"Trader Joe's",50,0.00835,0.008347,51.38,0.41,"Grocery Stores",0,"No rewards program","-","-",NA,"-","Grocery"
"Verizon Wireless",52,0.008096,0.008171,82.6,1.92,"Telecom Services - Domestic",0,"Smart Rewards","","Spend $10 earn 1,000 points",NA,"-","Specialty"
"Wakefern / Shoprite",28,0.0141,0.0141,87.82,0.313,"Grocery Stores",0,"No rewards program","instant discount","-",NA,"-","Grocery"
"Wal-Mart",1,0.334302,0.473979,15.16,4.779,"Discount, Variety Stores",0,"No rewards program","-","-",NA,"-","Discount"
"Wegmans Food Markets",62,0.006999,0.006999,45.93,0.083,"Grocery Stores",0,"No rewards program","","-",NA,"-","Grocery"
"Wendy's",45,0.009083,0.008892,16.7,5.791,"Restaurants",0,"No rewards program","-","-",NA,"-","Restaurants"
"Whole Foods",32,0.012491,0.012366,32.88,0.347,"Grocery Stores",0,"Current no rewards program. Whole Foods Market Rewards (pilot in Philadelphia)","store credit and various rewards (e.g., cooking class)","-",NA,"-","Grocery"
"WinCo Foods",75,0.005212,0.005212,3.89,0.091,"Grocery Stores",0,"No rewards program","-","-",NA,"-","Grocery"
"YUM! Brands",24,0.018144,0.035264,60.97,18.106,"Restaurants",0,"No rewards program","-","-",NA,"-","Restaurants"
"7-Eleven",35,0.011625,0.011504,50.31,7.974,"Discount, Variety Stores",1,"7REWARDS","store credit","Buy 6 drinks  =  free drink",16.67,"12","Discount"
"Ace Hardware",39,0.010605,0.010391,85.89,4.171,"Home Improvement Stores",1,"Ace Rewards","store credit","Spend $250 earn 2,500 points = $5 reward certificate for future purchase",2,"999","Specialty"
"Advance Auto Parts",66,0.006443,0.006485,64.24,4.023,"Auto Parts Stores",1,"SpeedPerks","store credit","Spend $30/$100 = $5/$20 rewards for the next $10+ purchase ",16.6,"2","Specialty"
"Ahold USA / Royal",17,0.026118,0.044028,40.87,0.767,"Grocery Stores",1,"Stop and Shop Rewards","gas discount","Spend $100 and earn 0.10 off per gallon for the maximum discount of $2.20 per gallon",15,"1","Grocery"
"Amazon.com",9,0.043962,0.077551,19.15,0,"Catalog & Mail Order Houses",1,"Amazon Rewards with Visa","store credit","3% off for future purchase at amazon ",3,"999","Specialty"
"Ascena Retail Group (Ann Taylor)",84,0.004665,0.004715,93.45,3.854,"Apparel Stores",1,"PerfectRewards","store credit","Spend $400 earn 2,000 points = $20 PERFECT REWARDS card",5,"1","Specialty"
"AutoZone",56,0.007584,0.01519,96.64,4.802,"Auto Parts Stores",1,"AutoZone Rewards","store credit","Spend $20+ 5 times earn 5 credits = $20 merchandise credit",20,"3","Specialty"
"Belk",93,0.004038,0.004038,38.64,0.299,"Department Stores",1,"Belk Rewards Card","store credit","Spend $400 earn 400 points = $10 Belk Reward Dollars",2.5,"999","Department"
"Best Buy",12,0.035766,0.042159,36.33,1.492,"Electronics Stores",1,"My Best Buy","store credit","Spend $250 earn 250 points = $5 reward certificate",2,"12","Specialty"
"Bi-Lo",44,0.009087,0.010205,29.5,0.684,"Discount, Variety Stores",1,"Fuelperks","gas discount","Spend $50  = $.05 off per gallon, up to 20 gallons",1.5,"3","Discount"
"BJ's Wholesale",29,0.012965,0.012965,55.72,0.201,"Discount, Variety Stores",1,"My BJ's Perks","store credit","2% of purchase amount for future purchase",2,"6","Discount"
"Bloomin' Brands (Outback)",92,0.004084,0.004763,33.94,1.288,"Restaurants",1,"Dine Rewards","store credit","Spend $20 X3 = 50% off next check, capped at $20 (assumes $30 check)",22.22,"3","Restaurants"
"Brinker International",98,0.003746,0.004399,16.1,1.309,"Restaurants",1,"My Chili's Rewards","free merchandise","Spend $80/160 earn 80/160 points = $8/$16 appetizer / entree",10,"4","Restaurants"
"Chik-fil-A",76,0.005191,0.005191,91.95,1.775,"Restaurants",1,"Belly","free merchandise","Spend $25 earn 25 pts = $1.09 mini sundae (among others)",4.4,"999","Restaurants"
"CVS Caremark",7,0.065618,0.066682,43.17,7.621,"Drug Stores",1,"ExtraBucks","store credit","2% off for future purchase except alcohol, prescriptions, stamps, and tabacoo products",2,"1.5","Specialty"
"Dell",91,0.004106,0.004106,22.2,0,"Electronics Stores",1,"Dell Advantage","store credit","Spend $500 = $25 off next purchase",5,"3","Specialty"
"Dick's Sporting Goods",69,0.006212,0.006212,15.34,0.644,"Sporting Goods Stores",1,"eRewards","store credit","Spend $300 earn 300 points = $10 rewards off future purchases",3.3,"12","Specialty"
"Dillard's",67,0.006439,0.006439,52.8,0.296,"Department Stores",1,"Dillard's Credit Card","store credit","Spend $750 earn 1,500 points = $10 reward certificate",1.33,"12","Department"
"Dunkin' Brands",60,0.007256,0.009286,28.25,10.144,"Restaurants",1,"DD Perks","free merchandise","Spend $40 earn 200 points = $2.50 free coffee ",6.25,"999","Restaurants"
"Foot Locker",81,0.004769,0.006505,21.69,2.36,"Textile - Apparel Footwear & Accessories",1,"VIP Club","store credit","Spend $50 = $10 off next purchase",20,"999","Specialty"
"GameStop",70,0.006108,0.00904,55.76,4.272,"Electronics Stores",1,"PowerUpRewards","free merchandise","Spend $6,000/$3,000 on new games/pre-owned games earn 60,000 points =$60 PS4 DualShock Wireless Controller",1,"12","Specialty"
"Gap",30,0.012872,0.016248,22.77,2.432,"Apparel Stores",1,"GAP Rewards Program","store credit","Spend $200 earn 1,000 points = $5 reward certificate for future purchase",2.5,"24","Specialty"
"Giant Eagle",64,0.00694,0.00694,99.2,0.42,"Grocery Stores",1,"Fuelperks","gas discount","Spend $50 = $.10 off per gallon",4,"2","Grocery"
"Harris Teeter Supermkts",83,0.00471,0.00471,27.24,0.216,"Grocery Stores",1,"InStore Rewards / Fuel Rewards","","Buy 7.5 whole sub = 1 free sub / Spend $50+  = $10 discount off a $50 gas card",13.3,"1.5","Grocery"
"H-E-B",20,0.019683,0.021,9.49,0.311,"Grocery Stores",1,"Points Club Rewards","store credit","Spend $66.7 earn 1,000 points = $1 reward certificate for future purchase",1.5,"3","Grocery"
"Hy-Vee",55,0.007629,0.008859,1.99,0.235,"Discount, Variety Stores",1,"FuelSaver","gas discount","Buy $3/$6 grocery and earn $0.03/$0.06 off per gallon, up to 20 gallons",20,"1","Discount"
"Ingles Markets",100,0.0036,0.0036,32.83,0.203,"Grocery Stores",1,"Fuel Reward","gas discount","Spend $100 earn 100 points = $.05 off per gallon",1,"1","Grocery"
"J.C. Penney",34,0.011789,0.084088,11.07,1.087,"Department Stores",1,"JCPenney Rewards","store credit","Spend $100 earn 100 points = $10 reward certificate for future purchase",10,"12","Department"
"Kohl's",22,0.019031,0.019031,81.23,1.158,"Department Stores",1,"Yes2You Rewards ","store credit","Spend $100 earn 100 points = $5 reward certificate for future purchase",5,"12","Department"
"Kroger",2,0.093598,0.093598,51.54,3.519,"Grocery Stores",1,"Fuel Program","gas discount","Spend $100 earn 100 points = $.10 off per gallon, up to 35 gallons",2,"1","Grocery"
"L Brands (Bath & body works)",43,0.009349,0.009087,64.38,2.648,"Apparel Stores",1,"Love Your Body Program","store credit","Spend $80 earn 4 points = $15 off future purchase, Spend $160 earn 8 points = $25 off future purchase",16,"12","Specialty"
"Meijer",26,0.01662,0.01662,32.56,0.202,"Discount, Variety Stores",1,"mPerks","store credit","Spend $100 to get $10 off next purchase (for baby products)",10,"1","Discount"
"Menards",46,0.008892,0.016228,83.48,0.284,"Home Improvement Stores",1,"Menards Big Card","store credit","Get 2% store credit every quarter",2,"999","Specialty"
"Neiman Marcus",86,0.004648,0.004648,25.59,0.085,"Department Stores",1,"InCircle","store credit","Spend $5,000 earn 10,00 points = $100 reward certificate for future purchase",2,"6","Department"
"Nordstrom",33,0.012366,0.011859,77.64,0.26,"Apparel Stores",1,"Nordstrom Rewards","store credit  and various rewards","Spend $1,000 earn 2,000 points = $20 reward certificate for future purchase",2,"12","Specialty"
"Office Depot",61,0.007022,0.010485,87.39,1.07,"Specialty Retail, Other",1,"Choice Member","store credit","Get 10% discount in rewards for shopping paper, ink, toner",10,"2","Specialty"
"OfficeMax",85,0.004652,0.006077,89.06,0.823,"Specialty Retail, Other",1,"Choice Member","store credit","Get 10% discount in rewards for shopping paper, ink, toner",10,"2","Specialty"
"O'Reilly Automotive",65,0.006649,0.006649,95.72,4.166,"Auto Parts Stores",1,"O'Rewards","store credit","Spend $150  earn 150 points = $5 O'Rewards coupon ",3.33,"12","Specialty"
"Price Chopper Supermrkts",97,0.003784,0.003784,16.46,0.132,"Discount, Variety Stores",1,"AdvantEdge","gas discount","Spend $100 for $0.10 up to 20 gallons",2,"2","Discount"
"Rite Aid",18,0.025526,0.025526,11.21,4.587,"Drug Stores",1,"Wellness+ ","store credit","Spend $250  = 10% off future purchases",5,"12","Specialty"
"Safeway",10,0.037534,0.042982,44.22,1.335,"Grocery Stores",1,"Reward Points","gas discount","Spend $100 and earn 0.10 off per gallon for a single fillup",1.5,"1","Grocery"
"Save Mart",80,0.004889,0.004889,19.35,0.226,"Discount, Variety Stores",1,"SaveSmart","store credit","Spend $100 earn 100 points = $1.1 worth of coupon",1.1,"3","Discount"
"Sears Holdings",16,0.026614,0.031283,45.52,1.905,"Department Stores",1,"Shop Your Way Rewards","store credit","Spend $100 earn 1000 points = $1 reward certificate",1,"12","Department"
"Signet Jewelers (Kay's)",99,0.003647,0.004203,23.17,1.471,"Specialty Retail, Other",1,"Instant Rewards","store credit","Spend $300 = $100 off next purchase",33.33,"6","Specialty"
"Staples",47,0.008883,0.00864,50.15,1.515,"Specialty Retail, Other",1,"Staples Rewards","store credit","2% or 5% on everything except postage stamps",3.5,"3","Specialty"
"Starbucks",42,0.009631,0.009972,71.56,11.513,"Restaurants",1,"My Starbucks Rewards","free product","Buy 12 drinks to earn 12 stars  =  free drink",8,"1","Restaurants"
"Subway",31,0.012861,0.012917,11.39,26.644,"Restaurants",1,"SUBWAY Card Rewards Program","","Spend $1 earn 1 point = various rewards (e.g., 75 pts for footlong subs)",6.7,"36","Restaurants"
"SUPERVALU",37,0.010967,0.050081,70.06,1.544,"Grocery Stores",1,"My Cub Rewards","gas discount","Spend $50  = $.05 off per gallon",1.5,"1","Grocery"
"The Home Depot",5,0.069951,0.078812,58.4,1.965,"Home Improvement Stores",1,"Fuel Rewards","gas discount","Spend $100/$1,000/$2,000/$4,000 earn 100/1,000/2,000/4,000 points = $.10/$1.00/$2.00/$4.00 off per gallon at participating Shell stations",1.5,"1","Specialty"
"TJX",19,0.020923,0.027423,72.4,2.454,"Department Stores",1,"Reward The Public","store credit","Spend $200 earn 1,000 points = $10 reward certificate for future purchase",5,"24","Department"
"Toys ""R"" Us",57,0.007525,0.013307,79.33,0.868,"Specialty Retail, Other",1,"Rewards""R"" Us","store credit","Spend $125 earn $5 Reward Dollars for future purchases",4,"12","Specialty"
"Tractor Supply",77,0.005165,0.005165,2.65,1.276,"Specialty Retail, Other",1,"Neighbor's Club","store credit","Spend $150 X3 times earn seasonal (quarterly) reward ($5 store credit)",1.11,"3","Specialty"
"True Value",27,0.01633,0.01633,38.69,4.494,"Home Improvement Stores",1,"TrueValue Rewards","store credit","Spend $250 earn 2,500 points = $5 reward certificate for future purchase",2,"24","Specialty"
"Walgreen",6,0.068068,0.070096,23.47,7.998,"Drug Stores",1,"Balance Rewards","store credit","500 points on every prescription filled in the pharmacy, good for $5 discount of future purchase",10,"6","Specialty"
"Williams-Sonoma",89,0.004163,0.004388,30.09,0.553,"Home Furnishing Stores",1,"Williams-Sonoma Visa??Signature??Card","store credit","Spend $3,333 earn 10,000 pts = $100 gift card",3,"999","Specialty"
